epoch,train_loss,val_loss,val_acc,lr,epoch_time_sec,gpu_peak_mem_mb
1,1.752010332580653,1.6097481584852669,33.9,0.001,121.31885981559753,351.61181640625
2,1.3166908675165319,1.4676637957050542,50.08,0.001,120.8255352973938,409.44775390625
3,1.065623597761546,1.0703272656270653,62.88,0.001,120.9122986793518,413.19775390625
4,0.9011412134768697,0.8038874809529372,71.4,0.001,120.94126725196838,409.69775390625
5,0.7756898877844374,0.7135519404320201,76.02,0.001,138.5187258720398,412.94775390625
6,0.6678926966125946,0.8423144955923603,72.24,0.001,120.91610360145569,410.69775390625
7,0.586471610136632,0.7412270323913188,76.22,0.001,120.86774110794067,410.69775390625
8,0.5219747408716156,0.6156210563365062,79.48,0.001,121.35165858268738,410.69775390625
9,0.45923883102002855,0.6364351395209125,79.82,0.001,120.45142149925232,409.94775390625
10,0.40815930869152295,0.5145860077564124,82.9,0.001,120.59320259094238,409.94775390625
11,0.3654240706582059,0.5608447169185065,82.54,0.001,121.02076721191406,411.94775390625
12,0.32609357396782757,0.5031848831849682,83.4,0.001,118.83810806274414,411.94775390625
13,0.2978349829459326,0.5554049656767944,83.1,0.001,117.58451294898987,410.94775390625
14,0.26934034869805584,0.5678323807200761,83.16,0.001,137.53274011611938,410.94775390625
15,0.24687702606571804,0.5742252492553489,83.12,0.001,117.61658692359924,410.94775390625
16,0.23098389547802747,0.5033903310110994,84.82,0.001,117.5954520702362,410.94775390625
17,0.21495738422382932,0.5211935210320505,84.4,0.001,118.74812364578247,410.94775390625
18,0.20118096324879287,0.5409977397151814,84.34,0.0001,118.0296368598938,410.94775390625
19,0.08285324057241784,0.46155680405201427,87.6,0.0001,117.82442736625671,410.94775390625
20,0.040831394249331084,0.5058353935742075,87.56,0.0001,117.52103805541992,409.69775390625
21,0.025619255265157456,0.5664823169650949,87.42,0.0001,120.05321216583252,409.69775390625
22,0.017519468603362464,0.5914601157152444,87.34,0.0001,120.49160671234131,409.69775390625
23,0.01541875769672265,0.6439759275589767,87.24,0.0001,117.73389196395874,409.69775390625
24,0.011936328864942917,0.6564489288862119,87.06,0.0001,147.2751693725586,409.69775390625
25,0.010018425667015144,0.6558649280719506,87.36,1e-05,117.55139374732971,409.69775390625
